"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"Blandsaft Jordgubb PET","Orkla Foods Sverige","115669","Saft: hallon, jordgubb","34806","","","","12x50 cl"
"Seedlip Garden 108 alkf","Galatea AB","121638","Alkoholfritt alt","477-01","0","","","6x70 cl"
"Giffard Grenadine Syrup ENGL","Renbjer & Magnusson AB","116140","Drickfärdiga drycker, övr smak","GSR001","","","","6x1 l"
"Pripps Jul klass I REGL","Carlsberg Sverige AB","119433","Lättöl","21545","","","","20x33 cl"
"Lemonad Cola","Kiviks Musteri AB","121659","Drickfärdiga drycker, övr smak","63207","","","","12x27,5 cl"
"Pilsner 2,8% 6-pack BRK","Piwa Food AB","120986","Folköl","402014","","","","4x6x50 cl"
"Mandeldryck","Midsona Sverige (markatta)","109995","Havre-, risdryck odyl","541342","","","","8x1 l"
"Lättsockrad fruktdryck fläder EKO","Orkla Foods Sverige","117620","Måltidsdricka konc, övrig smak","21076","","","","8x1 l"
"Cola läsk BRK","Piwa Food AB","104897","Burkar, läsk odyl","383842","","","","18x33 cl"
"Stilla Källvatten PET","Carlsberg Sverige AB","141475","PET","21546","","","","6x150 cl"
"Monster Energy BRK","Coca-cola European Partners Pl","103188","Sportdrycker","501","","","","24x50 cl"
"Fruktdryck Svartvinbär lättsockrad","Orkla Foods Sverige","108747","Saft: svart vinbär","18276","","","","8x1 l"
"Schweppes Tonic Lime 20cl EG","Spendrups Bryggeri AB","120952","Engångsförp, drinkvatten","2337510","","","","24x20 cl"
"Juice apelsin bits","Innocent AB","207276","Fruktdryck","134354","","","","6x900 ml"
"Stilla vatten PET","Spendrups Bryggeri AB","115162","PET","1212139","","","","24x33 cl"
"Dryck Svarta vinbär","Kiviks Musteri AB","143220","Måltidsdricka konc, övrig smak","73903","","","","8x1,5 l"
"Fentimans Curiosity Cola","Dryck Sthlm AB","111912","Engångsförp, drinkvatten","1252","","","","24x12,5 cl"
"Juice ingefära EKO ENGL","Matkompaniet AB","112094","Juice drickfärdig: övriga smak","31055","","","","20x27,5 cl"
"Tonic water burk","Saturnus AB","120851","Burk","7704","","","","24x15 cl"
"Äppledryck osötad 1+9","Orkla Foods Sverige","108758","Måltidsdricka konc, äpple","16376","","","","8x1 l"
"Jarritos Cola 37cl ENGL","Mexreal Food AB","116760","Engångsförp, läsk odyl","SKU17793","","","","24x37 cl"
