"Product_Name","Supplier_Name","Article_Number","Category","Volumn","Alcohol_Percent","Country","Producer","Package"
"San Giovanni","Sigva AB","708148","Torrt","X5072VA1101/6","12","Italien","_","6x75 cl"
"Sauvion Vouvray Les Bosquets","Stellan Kramer AB","710175","Torrt","X5031GP0401/6","14","Frankrike","Sauvion","6x75 cl"
"Iste Vodka Beaux Jangle","Herida Aurum AB","705382","Smaksatt vodka","9017992","27.5","Nederländerna","Toorank","6x50 cl"
"Gigondas","We & Wine AB","704834","Medel fylligt","74159016","15","Frankrike","Pierre Henri Morel","6x75 cl"
"Araldica Rive Barbera","Nigab AB","704809","Mindre fylligt","7324001","14.5","Italien","","6x75 cl"
"Tommasi Valpolicella","Hermansson & Co AB","706068","Medel fylligt","8721101","12","Italien","Tommasi","12x75 cl"
"Defaix Petit Chablis","Janake Wine Group AB","706648","Torrt","7383901","12.5","Frankrike","Domaine Bernard Defaix","12x75 cl"
"Paula Malbec","Amka Vinimport AB","703374","Medel fylligt","7393001","14","Argentina","Duna Paula","6x75 cl"
"Österlensnapsar Vitemölla Pepparot KRAV","Darom AB(utgått)","708509","Kryddat brännvin","50036215","37.5","Sverige","","20x10x5 cl"
"Schlumberger Pinot Blanc Les Princes Abbés","Enjoy Wine & Spirits AB","705473","Torrt","7044901","12","Frankrike","Domaines Schlumberger","12x75 cl"
"Windy Peak Pinot Noir","Wine & Spirits Collective","725854","Australien","645701","13","Australien","","6x75 cl"
"Lanson Black Label Brut Salamanazar","Viva Wine & Spirits Group AB","703685","Frankrike","8485310","12.5","Frankrike","Lanson","1x9 l"
"J.P. Chenet Merlot","Stellan Kramer AB","702449","Medel fylligt","7390209","13","Frankrike","Jean-Paul Chenet","6x75 cl"
"Torraccia del Piantavigna","Winepartners AB","725417","Vin","233901","13.5","Italien","","6x75 cl"
"Tommasi Il Sestante Amarone","Hermansson & Co AB","725848","Medel fylligt","1550601","15","Italien","Tommasi","6x75 cl"
"Öl Anarchy Sublime Chaos","Sabron AB","725381","Vin, Sprit och Starköl","SÖ0024","7","Storbritannien","","24x33 cl"
"Grimbergen Double Ambrée","Carlsberg Sverige AB","725830","Öl","11364","6.5","Sverige","","24x33 cl"
"Jacobs Creek Centerary Hill","Pernod Ricard Sweden AB","702586","Fylligt","1016701","15","Australien","Jacobs Creek","6x75 cl"
